"Country","Population","Rural","GNI","Imports","Exports","Military","Cell","Fertility","Measles","InfMort","LifeExp","PM2.5","CO2","EnergyUse","Renewable","Debt"
"Liechtenstein",39584,85.383,NA,NA,NA,NA,126.0867338,1.47,NA,NA,84.319512195122,NA,NA,NA,53.6,NA
"Lithuania",2871897,31.306,23860,75.5706100418699,80.0660156686909,2.52262366538611,133.7323188,1.27,87,2.9,75.7926829268293,9.21893860360944,4.68414229356214,2.94,33.2,NA
"Luxembourg",668606,7.922,89200,179.918519486916,213.222678669104,0.700406724896945,137.0751156,1.31,99,2.2,83.0463414634146,8.67476189540246,11.6165444041751,1.98,20.5,NA
"Macao SAR, China",704149,0,43940,76.750320660197,90.9384251752539,NA,185.6588995,1.109,NA,NA,85.377,NA,3.23288758976247,0.85,13.6,NA
"Madagascar",30325732,59.444,510,31.6827517090036,22.7742898827032,0.651003969501107,56.30041625,3.791,44,45.1,65.23,12.7535199510191,0.107727637785506,9.35,83.6,39.9097621945911
"Malawi",20931751,81.72,640,NA,NA,0.636293160064403,60.03162334,3.849,82,30.1,62.898,23.6983194353464,0.275785963040907,3.04,71.1,25.8287763354188
"Malaysia",34308525,21.284,11830,63.3948653159563,70.6240610300215,0.957534540141842,140.5905675,1.787,96,6.7,76.26,16.1938532237922,8.17755886497409,4.49,7.5,NA
"Maldives",521021,58.029,10880,NA,NA,NA,135.3978652,1.678,98,4.8,80.839,12.0123911668511,4.16409723799942,2.87,1.4,71.171516960976
"Mali",23293698,53.811,850,39.3427987455975,27.8671459235198,2.83404367131954,111.0929919,5.867,70,60.1,59.417,56.7830489222988,0.297695054216705,6.43,71.2,35.1060924757078
"Malta",553214,5.059,33330,148.505357010958,166.177307149835,0.499206864990125,123.3832876,1.15,96,4.9,82.7,11.7226648774147,3.22982114917165,1.21,8.6,NA
"Marshall Islands",41996,21.132,7270,71.2512585687743,46.7963986435575,NA,38.04994055,2.672,81,24,65.146,10.7256194470999,0,10.32,12.1,NA
"Mauritania",4862989,42.301,2080,48.450850492821,39.8560232643025,2.27396340852315,141.1137094,4.342,72,31.4,64.691,70.8224442103687,0.973704530209101,3.54,22.1,47.3512645621678
"Mauritius",1261041,59.133,10500,53.7982945111496,44.201734728189,0.166673188359335,151.765127,1.32,98,13.4,73.5146341463415,9.15296880580014,3.39146296740733,2.15,8.6,136.76527107408
"Mexico",128455567,18.418,10810,42.6133823306841,40.6773203628452,0.606752933062896,99.81384101,1.803,86,11,74.832,14.9923440243315,3.82555466342756,2.99,13,41.9246470980736
"Micronesia, Fed. Sts.",115224,76.621,4050,67.5059743589744,20.1005128205128,NA,19.4464824,2.669,69,20.5,70.925,12.1144203347628,0,6.46,2.1,NA
"Moldova",2486891,56.627,5500,57.8220988272368,30.6487877126898,0.315219358256148,127.3941322,1.8,84,12.2,68.621,14.7583463021422,3.40782246127645,4.92,21.4,66.7444773480226
"Monaco",36297,0,NA,NA,NA,NA,102.0171182,NA,88,2.3,NA,9.5810695715317,NA,NA,NA,NA
"Mongolia",3447157,30.911,4260,60.5492144836795,58.5488639540916,0.603063250173256,140.012223,2.774,94,11.5,72.667,29.6547866481682,6.50174230792093,6.96,3,224.083042361841
"Montenegro",616177,31.498,10480,62.1956378014157,42.8343554419311,1.60746495179336,178.3957863,1.8,33,2.3,76.1878048780488,17.9824100566499,NA,3.53,39.6,138.736750172493
"Morocco",37840044,34.879,3670,42.4483830655505,33.1838111219108,3.90492622294501,137.4592738,2.299,99,14.8,74.973,21.3212642117301,1.93929350844978,3.14,10.9,50.1460828381233
"Mozambique",33897354,61.247,490,71.7284659356564,40.3504985251714,1.5078235912053,42.66671846,4.561,84,48.7,59.625,20.0802484321177,0.304165805517691,11.95,76.9,423.644786838706
"Myanmar",54577997,67.888,1280,NA,NA,3.04694924417989,126.2686102,2.127,75,32.5,67.256,32.3150340028667,0.690189719299837,4.17,62.9,20.5985819677227
"Namibia",2604172,45.114,4840,51.587892222703,31.956410900348,3.0043137723859,115.2226488,3.248,91,28.6,58.059,19.9945355710926,1.67034669101664,3.45,30,NA
"Nauru",12780,0,20920,80,30.6382978723404,NA,79.92327366,3.463,98,22.3,64.014,6.06435493209495,0,6.94,1.6,NA
"Nepal",30896590,78.097,1340,37.9346333063959,5.11917148482606,1.13585458892798,127.2282803,2.008,90,23,70.484,45.7207706412594,0.518774318620329,5.63,73.7,22.2565319517876
"Netherlands",17879488,6.821,60230,72.8509614777156,84.1052071763075,1.58328113846348,125.0621654,1.487,89,3.4,81.7146341463415,10.8892498470498,7.6076909179389,2.95,12.2,NA
"New Caledonia",267940,27.281,NA,NA,NA,NA,90.34051425,2.02,NA,NA,80.9820731707317,NA,19.9164236762439,12.35,8.3,NA
